SOFTWARECOMPONENT	SWCOMPDESC	APPLICATIONCOMPONENT	APCOMPDESC	CHECKID	CATEGORY	MESSAGE	MSGTYPE	RETURNCODE	MSGIDENTIFIER	SEVERITY	COMPLEXITY	PROCAREA	PROCAREAL2	EFFORT	EFFORTFUNC	EFFORTTECH	NOTE	MIGRPOSSIBLE	MIGRIMPACT
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_ROLE	Data	0001 Vendor Account Group is not maintained in table CVIC_VEND_TO_BP2 in client 100 kindly refer note 2210486	W	4	BPMD002	3	Medium	MM	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	Some of the customer or vendor account groups are not assigned to any roles  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	Z005 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	YBAC Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	YB02 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	RJ02 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	KUNA Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	DEBI Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	0005 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	0002 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CHK_BP_AC	Data	0001 Customer account group is not maintained in table CVIC_CUST_TO_BP1 in client 100  kindly refer note 2210486	W	4	BPMD003	3	Medium	MM/SD	Master data	4	2	2	2210486	yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	Some of the customer or vendor numbers are not mapped kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
SAP_APPL	Logistics and Accounting	LO-MD-BP	Business Partners	CVI_MAPPING	Data	0000100060 is not having CVI mapping check the table CVI_CUST_LINK in client 100  kindly refer note 2210486	A	12	BPMD005	4	Medium	MM/SD	Master data	4	2	2	2210486	Yes	Conflict with work around
