PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY	CHECK_DEFECT
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_FORM	Include ZMM_MATERIAL_MASTER_EXT_FORM			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_FORM	   29	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_MISSING_PRICE_TOP	Include ZSD_MISSING_PRICE_TOP			Z001	SAP ECC 6.0	ZSD_MISSING_PRICE	ZSD_MISSING_PRICE_TOP	   30	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_UPDATE_TOP	Include ZMM_MATERIAL_UPDATE_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_UPDATE	ZMM_MATERIAL_UPDATE_TOP	   30	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_PROCESSES_TOP	Include ZSD_PROCESSES_TOP			ZUPD_SD	SAP ECC 6.0			   30	VBTYP-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	VBTYP
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_TOP	Include ZSD_FORECAST_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST	ZSD_FORECAST_TOP	   31	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_MARGIN_REPORT_TOP	Include ZFI_MARGIN_REPORT_TOP			Z001	SAP ECC 6.0	ZFI_MARGIN_REPORT	ZFI_MARGIN_REPORT_TOP	   31	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	LZFG_OPEN_ORDERTOP				Z001	SAP ECC 6.0	SAPLZFG_OPEN_ORDER		   32	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_NSSRP_UTILITY_TOP	Include ZSD_NSSRP_UTILITY_TOP			Z001	SAP ECC 6.0	ZSD_NSSRP_UTILITY	ZSD_NSSRP_UTILITY_TOP	   32	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_HEIJUNKA_TOP	Include Z_SD_HEIJUNKA_TOP - Data Declaration			Z001	SAP ECC 6.0	ZSD_HEIJUNKA	ZSD_HEIJUNKA_TOP	   32	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_IF_OUTBOUNDPO_TOP	Include ZMM_IF_OUTBOUNDPO_TOP			Z001	SAP ECC 6.0	ZMM_IF_OUTBOUNDPO	ZMM_IF_OUTBOUNDPO_TOP	   33	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_MATERIAL_MASTER_EXT_TOP	Include ZMM_MATERIAL_MASTER_EXT_TOP			Z001	SAP ECC 6.0	ZMM_MATERIAL_MASTER_EXTENSION	ZMM_MATERIAL_MASTER_EXT_TOP	   33	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_ZOOR_TOP	Include ZSD_OPEN_ORDER_REPORT_TOP			Z001	SAP ECC 6.0			   34	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_OPEN_ORDER_REPORT_TOP	Include ZSD_OPEN_ORDER_REPORT_TOP			Z001	SAP ECC 6.0	ZSD_OPEN_ORDER_REPORT	ZSD_OPEN_ORDER_REPORT_TOP	   34	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_MARGIN_REPORT_FORM	Include ZFI_MARGIN_REPORT_FORM			Z001	SAP ECC 6.0	ZFI_MARGIN_REPORT	ZFI_MARGIN_REPORT_FORM	   34	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZMM_MAT_UPLOAD_TOP	Include ZMM_MAT_UPLOAD_TOP			Z001	SAP ECC 6.0	ZMM_MAT_UPLOAD	ZMM_MAT_UPLOAD_TOP	   35	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_WATERFALL_TOP	Include ZSD_WATERFALL_TOP			Z001	SAP ECC 6.0	ZSD_WATERFALL_DAILY	ZSD_WATERFALL_TOP	   35	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_PLAN_VS_ACTUAL_TOP	Include ZMM_PLAN_VS_ACTUAL_TOP			Z001	SAP ECC 6.0	ZMM_PLAN_VS_ACTUAL	ZMM_PLAN_VS_ACTUAL_TOP	   35	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_FORECAST_STATUS_TOP	Include ZSD_FORECAST_STATUS_TOP			Z001	SAP ECC 6.0	ZSD_FORECAST_STATUS	ZSD_FORECAST_STATUS_TOP	   35	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZFI_INVENTORY_TOP_TEST	Include ZFI_INVENTORY_TOP			Z001	SAP ECC 6.0	ZFI_INVENTORY_REPORT_TEST	ZFI_INVENTORY_TOP_TEST	   36	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZSD_WATERFALL_DATA_TOP	Include ZSD_WATERFALL_DATA_TOP			Z001	SAP ECC 6.0	ZSD_WATERFALL_DATA	ZSD_WATERFALL_DATA_TOP	   36	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4		X			O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	ZMM_NEW_BACKLOG_REPORT_FORM	Include ZMM_NEW_BACKLOG_REPORT_FORM			Z001	SAP ECC 6.0	ZMM_NEW_BACKLOG_REPORT	ZMM_NEW_BACKLOG_REPORT_FORM	   36	Syntax or Keyword MODIFY is Obsolete	E	2		X			O		2	MODIFY SCREEN
R3TR	PROG	Programs	INCL	Includes	ZMM_NEW_BACKLOG_REPORT_TOP	Include ZMM_NEW_BACKLOG_REPORT_TOP			Z001	SAP ECC 6.0	ZMM_NEW_BACKLOG_REPORT	ZMM_NEW_BACKLOG_REPORT_TOP	   37	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
R3TR	PROG	Programs	INCL	Includes	LZMM_BACKLOG_CALTOP				Z001	SAP ECC 6.0	SAPLZMM_BACKLOG_CAL		   37	MATNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1	MATNR
