PGMID	MAINOBJ	MAINOBJ_DESC	MAINPROG	OBJECT	OBJDESC	OBJNAME	OBJTEXT	LINENO	INCL	FRICETYPE	PACKAGE	SYSNAME	R_MAINOBJ	NOTE	TITLE	ERRORMSG	ORIGIN	ORIGIN_DESC	REF_OBJ_TYPE	REF_OBJ_NAME	REF_SUB_TYPE	REF_SUB_NAME	REF_INT_TYPE	REF_INT_NAME	SIMPLI_ID	CATEGORY	CATEG_DESC	COMPLEXITY	COMPLEX_DESC	AREA	AREA_DESC	INT_TYPE	INT_NAME
R3TR	TABL	Table	ZRMP_ORDCOMP					0			ZAPO	SAP ECC 6.0	ZRMP_ORDCOMP	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2TMVGGPOS01					0			ZSD	SAP ECC 6.0	ZC2TMVGGPOS01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZZO_IT_ATP					0			ZZOP	SAP ECC 6.0	ZZO_IT_ATP	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZZO_WMDVEX					0			ZZOP	SAP ECC 6.0	ZZO_WMDVEX	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMATSTOCK					0			ZPM	SAP ECC 6.0	ZMATSTOCK	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZZO_WMDVSX					0			ZZOP	SAP ECC 6.0	ZZO_WMDVSX	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZINPPIMPL00					0			ZPP	SAP ECC 6.0	ZINPPIMPL00	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDTEND06					0			ZSD	SAP ECC 6.0	ZC2SDTEND06	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZIN_KOTD001					0			ZMM	SAP ECC 6.0	ZIN_KOTD001	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZGF_VBFA					0			ZSD	SAP ECC 6.0	ZGF_VBFA	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZBAPIITEMIN					0			ZZOP	SAP ECC 6.0	ZBAPIITEMIN	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZGF_VBKD					0			ZSD	SAP ECC 6.0	ZGF_VBKD	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZBALAYITTP_GPH					0			ZZOP	SAP ECC 6.0	ZBALAYITTP_GPH	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZRMP_ORDCOMP_FRZN					0			ZAPO	SAP ECC 6.0	ZRMP_ORDCOMP_FRZN	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZRMP_ORDLIST					0			ZAPO	SAP ECC 6.0	ZRMP_ORDLIST	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZIN_KOTD002					0			ZMM	SAP ECC 6.0	ZIN_KOTD002	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZBAPILAYIT					0			ZZOP	SAP ECC 6.0	ZBAPILAYIT	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZBAPILAYIT_GPH					0			ZZOP	SAP ECC 6.0	ZBAPILAYIT_GPH	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSH_LIST_P					0			ZMM	SAP ECC 6.0	ZSH_LIST_P	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LTBP					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDTEND10					0			ZSD	SAP ECC 6.0	ZC2SDTEND10	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDPSHP01					0			ZSD	SAP ECC 6.0	ZC2SDPSHP01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZALV_DETT					0			ZPP	SAP ECC 6.0	ZALV_DETT	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	MATNR					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDPSHP03					0			ZSD	SAP ECC 6.0	ZC2SDPSHP03	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDPSHP07					0			ZSD	SAP ECC 6.0	ZC2SDPSHP07	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDPSHP11					0			ZSD	SAP ECC 6.0	ZC2SDPSHP11	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDPSHP10					0			ZSD	SAP ECC 6.0	ZC2SDPSHP10	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSPCM_VIRTUALSTK_S					0			ZGSRVCM	SAP ECC 6.0	ZSPCM_VIRTUALSTK_S	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSD_SHP_KPL_EWM					0			ZSD	SAP ECC 6.0	ZSD_SHP_KPL_EWM	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2CSD_CATALOGHI					0			ZSD	SAP ECC 6.0	ZC2CSD_CATALOGHI	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	MATNR					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZEGWINTMVT					0			ZSD	SAP ECC 6.0	ZEGWINTMVT	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZEGWINTDELNOTE					0			ZSD	SAP ECC 6.0	ZEGWINTDELNOTE	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZCHANGEAREA					0			ZC2CMM	SAP ECC 6.0	ZCHANGEAREA	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZDELIVERYSN					0			ZSD	SAP ECC 6.0	ZDELIVERYSN	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSTPOX_ALV					0			ZMM	SAP ECC 6.0	ZSTPOX_ALV	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	INTRM					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZDELIVERYIDOC					0			ZSD	SAP ECC 6.0	ZDELIVERYIDOC	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSPCM_VIRTUALSTK					0			ZEVI	SAP ECC 6.0	ZSPCM_VIRTUALSTK	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZGF_STPO					0			ZMM	SAP ECC 6.0	ZGF_STPO	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	INTRM					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZIN_STPO					0			ZMM	SAP ECC 6.0	ZIN_STPO	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	INTRM					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZIVNEG1_OUT					0			ZSD	SAP ECC 6.0	ZIVNEG1_OUT	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZSTRUWINS00					0			ZSD	SAP ECC 6.0	ZSTRUWINS00	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZWH_STPO					0			ZMM	SAP ECC 6.0	ZWH_STPO	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	INTRM					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZTRA_PREINV_TB					0			Z001	SAP ECC 6.0	ZTRA_PREINV_TB	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZC2SDWINS11					0			ZSD	SAP ECC 6.0	ZC2SDWINS11	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LIPS					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZWH_MARA					0			ZMM	SAP ECC 6.0	ZWH_MARA	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IMATN					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZIN_MARA					0			ZMM	SAP ECC 6.0	ZIN_MARA	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IMATN					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMP_ORDCOMP					0			ZPP	SAP ECC 6.0	ZMP_ORDCOMP	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZRL034_2					0			ZMM	SAP ECC 6.0	ZRL034_2	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZCCWMSTQUANT					0			ZWM	SAP ECC 6.0	ZCCWMSTQUANT	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZCCWMBIN002					0			ZWM	SAP ECC 6.0	ZCCWMBIN002	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZCCLAGP					0			ZWM	SAP ECC 6.0	ZCCLAGP	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZBATCH_FM_MII					0			ZMM	SAP ECC 6.0	ZBATCH_FM_MII	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMX_KAR_APROPIO					0			ZMM	SAP ECC 6.0	ZMX_KAR_APROPIO	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZST_CLEARBIN_ALV					0			ZWM	SAP ECC 6.0	ZST_CLEARBIN_ALV	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMXMFG0025					0			ZMM	SAP ECC 6.0	ZMXMFG0025	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMXMFG0002					0			ZMM	SAP ECC 6.0	ZMXMFG0002	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMXMFG0024					0			ZMM	SAP ECC 6.0	ZMXMFG0024	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LQUA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMPRXXX_ALV01					0			ZMM	SAP ECC 6.0	ZMPRXXX_ALV01	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZRL034					0			ZMM	SAP ECC 6.0	ZRL034	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LTAP					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMXMFG0024					0			ZMM	SAP ECC 6.0	ZMXMFG0024	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LTAP					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMX_KAR_APROPIO					0			ZMM	SAP ECC 6.0	ZMX_KAR_APROPIO	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	LTAP					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZMP_COMPSTK_FRZN					0			ZAPO	SAP ECC 6.0	ZMP_COMPSTK_FRZN	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	DTEL	IDNRK					FA163EDF73161ED5A7B15DE9A53A58E0	3	High	2	Medium	LO-MD-MM	Material Master		
R3TR	TABL	Table	ZCO_TEMPL_HOURS					0			ZCO	SAP ECC 6.0	ZCO_TEMPL_HOURS	2215424	MATERIAL FIELD LENGTH EXTENSION	Syntactically incompatible change	R	Reference	TABL	MARA					FA163EDF73161ED5A7B15DE9A53A98E0	3	High	2	Medium	LO-MD-MM	Material Master		
