PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	SEVERITY	COMPLEXITY	RULNAME	REFOBJTYP
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		60	"The current ABAP command is obsolete. SELECT without an INTO clause is not supported in the OO context. Use ""SELECT .... INTO wa""..Internal Message Code: SELECT 202"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		60	Truncation in the conversion from ABAP type 'C' (length 80 -> 52)	4	2	TYPE CONVERSION ERROR	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		69	Access to Single Record Buffered Table TADIR w/o SELECT SINGLE	4	3	SELECT SINGLE EXPECTED FOR SINGLE RECORD BUFFERED TABLE	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		69	No Handling of SY-SUBRC After Reading Database Statement	1	3	SY-SUBRC NOT HANDLED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		75	No Handling of SY-SUBRC After Reading Database Statement	1	3	SY-SUBRC NOT HANDLED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		75	"The current ABAP command is obsolete. SELECT without an INTO clause is not supported in the OO context. Use ""SELECT .... INTO wa""..Internal Message Code: SELECT 202"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		80	Char. strings w/o text elements will not be translated:.'Transaction Code - '	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		90	Use Variable length statement STRING instead of fixed length WF_OBJECT2(30)	4	3	INCORRECT OPERATION ON BYTE & CHARACTER STRINGS	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		90	Use Variable length statement STRING instead of fixed length WF_TXT(60)	4	3	INCORRECT OPERATION ON BYTE & CHARACTER STRINGS	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		105	Char. strings w/o text elements will not be translated:.'Enhancement/ Business Add-in'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		107	Char. strings w/o text elements will not be translated:.'Description'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		114	Char. strings w/o text elements will not be translated:.'Enhancement'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		116	Char. strings w/o text elements will not be translated:.' Business Add-in'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		130	No Handling of SY-SUBRC After Reading Database Statement	1	3	SY-SUBRC NOT HANDLED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		130	SELECT in LOOP/ENDLOOP Loop	2	2	DATABASE ACCESS INSIDE A LOOP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		139	No Handling of SY-SUBRC After Reading Database Statement	1	3	SY-SUBRC NOT HANDLED	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		139	SELECT in LOOP/ENDLOOP Loop	2	2	DATABASE ACCESS INSIDE A LOOP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		167	Char. strings w/o text elements will not be translated:.'No.of Exits:'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		168	Char. strings w/o text elements will not be translated:.'No.of BADis:'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		172	Char. strings w/o text elements will not be translated:.'No userexits or BADis exist'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		176	Char. strings w/o text elements will not be translated:.'Transaction does not exist'	3	3	TEXT ELEMENT MISSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		179	List processing events LINE-SELECTION are Obsolete	4	1	CHECK LIST PROCESSING EVENTS	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		187	Binary search is missing on READ table JTAB	2	2	STANDARD INTERNAL TABLE PROCESSING	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		187	"The current ABAP command is obsolete. In the OO context either an INTO or an ASSIGNING specification or the addition. ""TRANSPORTING NO FIELDS"" must be used. be used. be used. be used. be used. be. used..Internal Message Code: READ 018"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		194	CALL TRANSACTION	2	3	UNDESIRABLE LANGUAGE ELEMENTS	PROG
R3TR	PROG	Program	PROG	Program	YLSR_SEARCH_USEREXITS_BADIS	Search userexits and Badis for a transaction			ZTEST	SAP ECC 6.0	YLSR_SEARCH_USEREXITS_BADIS		197	CALL TRANSACTION	2	3	UNDESIRABLE LANGUAGE ELEMENTS	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		11	The current ABAP command is obsolete.Tables with headers are no longer supported in the OO context..Internal Message Code: MESSAGE G1D	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		12	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		15	"The current ABAP command is obsolete. Within classes and interfaces, you can only use ""TYPE"" to refer to ABAP Dictionary. types, not ""LIKE"" or ""STRUCTURE""..Internal Message Code: MESSAGE G/B"	3	3	OBSOLETE ABAP	PROG
R3TR	PROG	Program	PROG	Program	ZBC_RS_TRANSLATION_IMPORT_PP	azvzcv			ZTEST	SAP ECC 6.0	ZBC_RS_TRANSLATION_IMPORT_PP		22	Suspicious conversion between ABAP types 'C' and 'N'	4	2	TYPE CONVERSION ERROR	PROG
