PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	LINNO	ERRORMSG	MSGTYP	COMPLEXITY	REMEDIATE	PERFFLG	SCFILE	UNICODEERR	DEFTYPE	REFOBJTYP	CATEGORY
Program Type	Object Type	Object Description	Sub Object	Sub Obbject Description	Object Name	Object Text	Application	FRICE Type	Package	System Name	Main Program	Include Program	Line No	Error Message	Message Type	Complexity	Auto Remidiable	Performance Related	Score Code File	Unicode Error	Definition type	Reference Obj Type	Category	Check Defect
LIMU	FM	Function Module	FUNC	Function Module	ZARCHIVFILE_SERVER_TO_SERVER	Kopieren Datei von Server auf Server			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZARCHIVFILE_SERVER_TO_SERV	LZARCHIVFILE_SERVER_TO_SERVU01	  106	Syntax or Keyword MODIFY is Obsolete	E	2					O		2
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  152	AUSP-ATINN-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  153	AUSP-KLART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  173	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  173	BSEG-KUNNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  173	BSEG-WRBTR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  174	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_ADDITIONAL_FIELDS_NA	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZFI_ADD_AR_FIELDS	LZFI_ADD_AR_FIELDSU01	  175	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  190	AUSP-KLART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  191	AUSP-ATWRT-has been altered by SAP	E	3					O		3
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  195	BSEG-HZUON-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  195	BSEG-KOART-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  195	BSEG-LIFNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  195	BSEG-XREF3-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  197	BSEG-BUKRS-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  198	BSEG-BELNR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  200	BSEG-GJAHR-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_REVALUATION_ANALYSIS	Schnittstellenbeschreibung zum Event 00001650			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_ATTUNE	LZ_ATTUNEU01	  201	BSEG-BUZEI-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
LIMU	FM	Function Module	FUNC	Function Module	Z_CLASS_VALUES_UPDATE	Insert/Modify Class values for an object within a Class			ZFI	EHP6 FOR SAP ERP 6.0	SAPLZ_CLASS_FUNCTIONS	LZ_CLASS_FUNCTIONSU02	  202	AUSP-ATINN-has been altered by SAP-SPECIFIC TO S4H	E	4					O		1
