COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	BFUNCCATEG	CURRSTAT	FUTURESTAT	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
DMIS	DMIS 2011_1	Industry Solutions	2011_1_731	LT_PC_REORG_ANALYSIS	LT Profit Center Reorg. Analysis	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/BEV1/ARC	BEV Archiving (PL,Emps,Rets,ED)	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/BEV1/NE_ENH	Functional Improvements BEV	Enterprise BF / Enhancement Packages	OFF	OFF	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/CUM/MAIN_1	Compatible Units Archiving	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/DSD/ARC	Archiving for Direct Store Deliv	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/DSD/DEX	DEX Enablement for DSD	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	/DSD/OCS	Occasionally-Connected Scenarios	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_ICM_CORE_01	Incentive&Commission Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_ICM_CORE_02	Incentive&Commission Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_ICM_CORE_03	Incentive&Commission Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_ICM_CORE_04	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_ICM_CORE_04_02	Incentive and Commission Mgmt	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	EA_ICM_PFO_CORE_04	Portfolio Assignment 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	ERP_AIE_INTEGRATION	AIE ERP Integration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_ACC_LOCAL_CLOSE	Local Close	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_ACC_LOCAL_CLOSE_2	Local Close 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_ACC_LOCAL_CLOSE_3	Local Close 3	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_BL_EB_1	FI-BL, Elec. Bank Statement	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_CO_CCMGMT	CO, Cost Center Management	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_CO_MSSBUA_NWBC	Roles for MSS/BUA	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_1	Non-HCM Localization Topics	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_12	RE-FX, Loc. for France	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_18	FI-AA Localization for Japan	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_2	FI Topics for Japan and Portugal	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_21	RE-FX, Par. Adjustment for NL	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_22	RE-FX, Loc. of CMD for Italy	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_26	Golden Tax Interface for China	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_3	RE-FX Portugal	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_6	RE-FX, Loc. for CZ, HU, NL, SK	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_8	FI-AA Topics for IN, JP, RU	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	FIN_LOC_CI_9	FI, Localization for CN	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	JVA_CUTB_REVERSE	JVA cutback reversal	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	JVA_GL_INTEGRATION	JVA - New G/L Integration	Enterprise BF / Enhancement Packages	ON	ON	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	JVA_INFS_VALIDREP	JVA, cutb, validation, reporting	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	JVA_REP_SIMPL	JVA, ODP for JVA	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	J_7L_REA_AUTO_CONFIG	REA, Automatic Configuration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	J_7L_REA_CORE	REA, Recycling Administration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	J_7L_REA_SUSTAIN	REA, Environmental Reporting	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CC	Config. Control Innovations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CI_2	Enterprise Asset Management	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CI_3	EAM: Continuous Improvements	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CI_4	Enterprise Asset Mgmt Part 4	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CI_5	Enterprise Asset Mgmt Part 5	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_CI_6	Enterprise Asset Mgmt Part 6	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_LINEAR_1	EAM, Linear Asset Management 1	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_LINEAR_2	EAM, Linear Asset Management 2	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_PAM	EAM: Pool Asset Management	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_SIMPLICITY	Simplified EAM Functions	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_SIMPLICITY_2	Simplified EAM Functions 2	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_TOHO	Takeover/Handover of Tech. Objs	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_TOHO_2	Takeover/Handover Improvements	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_TZS_1	EAM: Time Zone Support	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_TZS_2	EAM: Time Zone Support (Part 2)	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_VE_INT	EAM, Int. SAP Visual Enterprise	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_WCM_1	Stepwise Tagging/Work Permits	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_WCM_2	Definition of WCM Templates	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EAM_WCM_3	Managing WCM Objects/Templates	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EHS_CI_2	EH&S Continuous Improvement	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EHS_DG_CI_3	EHS - Continuous Improvements DG	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_EHS_PS_CI_3	EHS - Continuous Improvements PS	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_FI_DPC_MM_1	Subcontractor Mgmt (DwnPayChain)	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_CI_1	Optimizations in Production	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_INTELI_01	POWL	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_PI_PMA_01	PI Sheet Archiving	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_PMA_PMC	PI Sheet	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_SRN_02	Shift Report/Shift Note	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_SRN_CONF	Shift Report/Notes, Confirmation	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_XS_01	XStep Repository Enhancements	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_PP_XS_RTG_PO	XSteps for Routing and PO	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_SD_SMI	Supplier Managed Inventory	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	LOG_XPD_EXT_1	PS, Progress Tracking Data in PO	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_EC_INTEGRATION	Env. Compl. Integration	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_PS_CI_1	Project System Enhancements	Enterprise BF / Enhancement Packages	ON	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_PS_HLP_1	PS Handling Large Projects	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_PS_HLP_2	PS, Handling Large Projects 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_QM_EXTENSION_2	Enhanc.in FMEA + QM Notificatns	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_QM_EXTENSION_3	QM Extensions in QC and Notif.	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_QM_NOTIFICATION	QM: Functions for Qty Notifictns	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	OPS_QM_PLAN_INTEGRAT	QM: Inspection Plan Integration	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	PLM_PMEVC_1	PLM Var. Config.  Prod. Mod. Env	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	PLM_RM_PRODUCT_LABELING	PLM RM: Labeling	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	PMD_PLM_RECIPE_MANAGEMENT_1	PLM: Recipe Management	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	PRS_ERP_CPILS_1	Comm.Proj.Inception&L.Staffing	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	PRS_ERP_CPILS_2	Comm.Proj.Inception&L.Staffing 2	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	RE_CRE_MISC	Corporate Real Estate	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	RE_FM_EARMARKED_FUND	RE/FM Earmarked Funds	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	RE_GEN_CI_1	Real Estate	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	RE_GEN_CI_2	Real Estate 2	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	RE_GEN_CI_3	Real Estate 3	Enterprise BF / Enhancement Packages	OFF	ON	Warning	W				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	WTY_DP_1	LO, Warranty for Dealer Portal	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-APPL	SAP Enterprise Extension PLM, SCM, Financials	Others	606	WTY_DP_2	Warranty DP, Innovations	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S				
EA-DFPS	SAP Enterprise Extension Defense Forces & Public Security	Others	606	DFPS_ICM_OF	DFPS: Investigative Case Mgmt	Enterprise BF / Enhancement Packages	OFF	CUS_SWITCH	Pass - No Impact	S		S		
