COMPONENT	COMPONENTDESC	COMPTYPE	RELEASE	BFUNCTION	BFUNCDESC	CURRSTAT	STAT1511	BFCONFLICT	MSGTYPE	ADDONSTAT	ADDONCONFLICT	SUCCPRODUCT	SUCCSW
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_ADB	Average Daily Balance	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_CI_1	New General Ledger Accounting	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_CI_3	New General Ledger Accounting 3	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_DISTR_SCEN_1	Totals Trsfr in Distrib. Systems	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_ERR_CORR	Error Correction System	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_ERR_CORR_SUSP	Error Corr. and Susp. Accounting	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_MCA	Multi Currency Accounting	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_REORG_1	Profit Center Reorganization	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_GL_REORG_SEG	Segment Reorganization	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_11	FI, Localization for CN, SA, AE	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_13	FI, Localization for China	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_14	FI, LO, Topics for Russia 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_15	FI-AA Localization Topics for RU	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_16	FI, E-Payments for China	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_17	Optimized Fin. Processes, China	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_19	FI, LO Topics  RU 3	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_23	FI, LO Topics  RU 4	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_25	Electronic Monetary Claims	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_33	FI, LO Topics  RU 5	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_35	FI, LO Topics  RU 6	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_37	FIN, Localization AR	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_4	FI Topics Japan and South Korea	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_CI_7	FI, LO Topics for CL, IN, PT, RU	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_EPIC_2	FI, E-Payments for China 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_EPIC_3	FI, E-Payments for China 3	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_EPIC_4	FI, E-Payments for China 4	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_LOC_EPIC_4_2	FI, E-Payments for China 4_2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_MDM_SOA_ORG	MDGF, SOA Organizational Units	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_REP_SIMPL_2	Reporting Financials 2	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_REP_SIMPL_3	Reporting Financials 3	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_REP_SIMPL_4	Reporting Financials 4	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_SSC_AIC_1	FI, Enablement for FSS	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	FIN_TRM_CM_DIMENSIONS	CLM-CM, Additional Acct Assgmts	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	HCM_CRM_CATS_PROFILE	CRM, Time Rec. - CATS Profiles	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ILM_CDE_CONT_SAP_APPL	ILM: CDE Content (SAP_APPL)	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_AGENCY_4	Trade, Agency Business 4	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_AGENCY_5	Trade, Agency Business 5	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_AGENCY_6	Trade, Agency Business 6	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_CRM_INTEG	Retail, MD Integration in CRM 01	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_OUTBOUND_DMF	Retail, Export of Data to PMR	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_PCI_DSS	Retail, PCI DSS	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_POS_INTEG	Retail, POS Integration via IDoc	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_PRICE_OPTIM	Retail, Price Determination	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_RRPL	Rapid Replenishment Planning	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_SCM_2	Retail, Connectivity to F&R 5.2	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_STORE_CON	Retail Store Connectivity	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_APPL_USABILITY	Retail, Usability	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RETAILSYSTEM	Retail Enhancements	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RET_AGENCY_2	Trade, Agency Business 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RET_AGENCY_3	Trade, Agency Business 3	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RET_CD/FT_EWM	Retail, CD/FT_EWM Integration	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RET_CROSS_DOCK_IF	Retail, Cross-Docking Interface	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	ISR_RET_PERISH_PROCUREMENT	Retail, Perishables Procurement	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_CPE_FA_FE	CPE: BAdI-Based Formula Handling	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_CPE_SD_MM	Logistics, CPE in SD and MM	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_MAM	EAM : Mobile Asset Management	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_MPOINT_MASS_DEACT	EAM Deactiv.of Measuring Points	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_MPS1	Maintenance Plan Scheduling 1	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_OLC	Operation Account Assignment	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_OLC_2	Operation Account Assignment 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_EAM_SHIFTFACTORS	EAM, Shift Factors MCP	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_ESOA_OPS_2	Operations, Enterprise Services	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_ESOA_OPS_3	Operations, Enterprise Services	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MMFI_P2P	MM, Integration MM and FI	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_ANALYTICS_01	MM, Analytics 01	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_CI_3	Enhancements in Procurement	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_CI_4	ERP, MM, Procurement	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_COMMODITY	Procure-to-Pay for Commodities	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_COMMODITY_02	Procure-to-Pay Commodities 2	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_COMMODITY_03	Procure-to-Pay Commodities 3	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_COMMODITY_04	Procure-to-Pay Commodities 4	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_EXT_REL	External rel. for purchase req.	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_MAA_1	MM Multiple Account Assignment	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_OM_1	ERP OPS Outsourced Manufacturing	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_OM_2	Outsourced Mfg 2 in ERP OPS	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_OPTIMIZATIONS	UI and Performance Optimizations	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_OPT_POH	Optimization for PO History	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_P2PSE_1	Procurement - SRM Integration	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_P2PSE_2	Procurement - SRM Integration 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_P2PSE_3	ERP, MM, Procurement and SRM Int	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_SERNO	Serial Numbers in Purchasing	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_SIT	MM, Stock in Transit & Act.Cstng	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_SSP_1	MM, Self-Service Procurement	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_MM_SUSTAIN_1	Sustainable Sourcing and Proc.	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PPH_MDPSX_READ	MRP Performance Optimizations	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_BATCH_HISTORY	Batch History	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_CFB	PP, Food and Beverage	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_EWM_MAN	EWM Integration in Manufacturing	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_EWM_MAN_2	EWM Integr. in Manufacturing 2	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_LMAN_02	Kanban Enh. for Lean Manufact.	ON	ON	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_LPO	SAP LPO Integration	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_MES_INT_01	Integr. Production Orders MES	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_MES_INT_02	Integration Production/MES	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_MES_INT_03	Integration Production/MES 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_MIS	Manufacturing Information System	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_PROD_ORD_SPLIT	Order Split	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_WIP_BATCH	WIP Batch	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_PP_WIP_BATCH_02	WIP Batch Enhancements	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SCM_CUSTVEND_INT	SCM, Customer Vendor Integration	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SCM_EQUIFUNCLOC_INT	SCM, Equip / FuncLoc Integration	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SCM_EWM_INT	EWM Integration	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SCM_MEAN_INT	SCM, Additional GTINs (EAN/UPC)	ON		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_ADVORD	Adv. Order Process. and Billing	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_ANALYTICS_01	SD, Analytics 01	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_CI_01	Sales & Distribution	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_CI_02	Sales & Distribution 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_COMMODITY	Contract-to-Cash for Commodities	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_COMMODITY_02	Contract-to-Cash Commodities 2	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_COMMODITY_03	Contract-to-Cash Commodities 3	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_COMMODITY_04	Contract-to-Cash Commodities 4	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_FICA_DISTRIBUTED	SD/FI-CA Integration Dist.Syst.	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_JAM_INTEG	SD, JAM Integration	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_PRICE_LIST	SD, Price Lists	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_PRICE_LIST_2	SD, Price Lists 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_REBATE_INDEX	SD, Replacement of Rebate Index	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_REBATE_INDEX_SBS	SD, Elimination of VBOX (S-B-S)	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_REPORT_OPT	SD, Optimized Reports	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SD_SIMP_02	S&D Simplification 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SEGMENTATION	Segmentation	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_SEGMENTATION_02	Segmentation Part II	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TMF_CIAP	Tax Declaration Framework-CIAP	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TMF_INT_1	Tax Declaration Framework # BR	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ERP_LOCL_BR01	TMS-ERP: Localization Brazil	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ERP_LOCL_BR02	TMS-ERP: Localization Brazil 02	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_IV_INT	TMS-ERP: Invoice Integration	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT	ERP-TMS: Order Integration	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT_I	ERP-TMS: Ord. and Inv. Integ. 1	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT_II	ERP-TMS: Order Integration 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT_III	ERP-TMS: Order Integration 3	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT_IV	ERP-TMS: Order Integration 4	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_ORD_INT_TRQ	ERP-TMS: Basic Order Integration	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TM_SAG_INT_I	Sched. Agreement Int. with TM	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_TRM_INT_2	Log-TRM Integ. for Commodities 2	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	LOG_WM_ROLES_2	LOG_WM_ROLES_2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	MDG_CUST_ERPCLIENT_1	MDG Customer ERP Client	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	MDG_MATERIAL	MDG for Material	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	OIL_OPM_UPST	Op. Perf. Management Upstream	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	OIL_OPM_UPSTGIS	Integration of GIS	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	OIL_OPM_UPST_CI_1	Op. Perf. Management Upstream 1	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	OPS_ADVRETURNS_1	Advanced Returns Management	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	OPS_ADVRETURNS_2	Advanced Returns Management 2	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	OPS_PS_CI_2	PS, Performance Improvements	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	OPS_PS_CI_3	PS, Performance Improvements 3	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	OPS_SME_SIMP_01	SME Simplification 1	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	PLM_CFO_IMPEXPMPN	cFolders Import Export of MPNs	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	PLM_CFO_ORDWBSBOM	Export Order/WBS-BOM to cFolders	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	PLM_EDM_DISPLAYCHANGESWITHACL	Display Changes to ACL	OFF	OFF	Pass - No Impact	S				
SAP_APPL	Logistics and Accounting	Application Componen	617	PLM_VCHLL_HANA	Low-Level VC with SAP HANA	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	PRS_GEN_UI	Prof. Services, UI Enhancements	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	PS_GOVPROC_ITEMTYPES	PS, Item Hierarchies	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	PS_GOVPROC_SCCMT	PS, Shopping Cart Commitment	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	RE_CO_INTEGRATION	Real Estate: CO Integration	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	SCM_GEN_02	Integration of SCM and ERP 2	OFF		Not part of BF list	I				
SAP_APPL	Logistics and Accounting	Application Componen	617	SD_01	Logistics S&D Simplification	OFF	ON	Warning	W				
SAP_APPL	Logistics and Accounting	Application Componen	617	SPE_CI_1	SPM: Innovations in ERP	OFF		Not part of BF list	I				
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	BC_SRV_STW_01	StreamWork ABAP Integration 1	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	BC_SRV_STW_02	StreamWork ABAP Integration 2	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	BC_SRV_STW_03	Social Media ABAP Integration	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	DAAG_DATA_AGING	Data Aging	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	DA_ARCHOBJ_STANDARD_1	Standardization - Arch. Objects	OFF	ON	Warning	W		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	DA_ARCHOBJ_STANDARD_2	Standardization - Arch. Objects	OFF	ON	Warning	W		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	DA_COCKPIT_ILM	Data Archiving Cockpit	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	ERP_CA_INT_ADD_VERSN	International Address Versioning	OFF	ON	Warning	W		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	FDT_TEST_ENTERPRISE_BF_OFF	BRF+ Test Business Function Off	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	FDT_TEST_ENTERPRISE_BF_ON	BRF+ Test Business Function On	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	ILM	INFORMATION LIFECYCLE MANAGEMENT	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	ILM_STOR	ILM Database Store	OFF		Not part of BF list	I		S		
SAP_BASIS	SAP Basis Component	Netweaver Basis Comp	740	SRIS_SOURCE_SEARCH	ABAP Source Search	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/BCV/EASY_QUERY	BCV Easy Query	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/BCV/MAIN	FND, Business Context Viewer	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/BCV/MAIN_1	FND, BCV Main Application 2	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/BCV/NWBC_SIDEPANEL	BCV Side Panel for NWBC	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/IPRO/FND_DOCB_CC	FND, Content Controls	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/IPRO/FND_DOCB_FILLINS	Fill-In Enhancement	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/IPRO/FND_DOCB_WORD2007	Word 2007 Support	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	/IPRO/FND_DOCUMENT_BUILDER	SAP Document Builder	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	BSCBN_HANA_NAV	HANA-Based Navigation for Suite	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	BSESH_HANA_SEARCH	SAP HANA-Based Search for Suite	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	BUPA_ILM_BF	Business Partner ILM	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	CA_BP_SOA	Services for Business Partner	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	CA_SUPPLIER_SOA	Services for Supplier	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	ERP_ALL_LISTS	ERP, New UI for ABAP Lists	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	ERP_ALL_LISTS_2	ERP, New UI for ABAP Lists	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	ERP_ALL_PDF_FORMS	ERP, PDF-based forms	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	ERP_CA_SIDEPANEL	Side Panel for Business Suite	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	ERP_NWBC_ROLES	ERP, Roles for SAP NWBC	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FICA_FSCM_CRM_DISPUTE	FICA Dispute  / CRM Complaint	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FIN_MDM_ACC	FIN, Master Data Management	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_ANALYTICS_TOOLS	Enh. f. Business Suite Analytics	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_ANALYTICS_TOOLS_2	Enh. Business Suite Analytics 2	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_EPT_PROC_ORCH_1	Process Orchestration v1	OFF	ON	Warning	W		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_HRICP_1	Framework to Track IT Changes	OFF		Not part of BF list	I		S		
SAP_BS_FND	SAP Business Suite Foundation	Application Platform	747	FND_IBO_MULTIBE_1	FND, Multi Back-End for Inbox	OFF		Not part of BF list	I		S		
