PROGTYPE	OBJTYPE	OBJDESC	SUBOBJ	SUBOBJDESC	OBJNAME	OBJTEXT	APPLN	FRICETYPE	PACKAGE	SYSNAME	MAINPROG	INCL	REFOBJTYP
R3TR	OTH	Others	METH	Method (ABAP Objects)	_ONLAYOUT					SAP ECC 6.0	CL_O200O2TNW4PYHHM4L2EZE5WGEDY	CL_O200O2TNW4PYHHM4L2EZE5WGEDYCM003	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IF_BSP_PAGE~COMPARE_TO_BSP_PAGE					SAP ECC 6.0	CL_O200O2TNW4PYHHM4L2EZE5WGEDY	CL_O200O2TNW4PYHHM4L2EZE5WGEDYCM004	
R3TR	OTH	Others	METH	Method (ABAP Objects)	%_INITATTRIBUTES					SAP ECC 6.0	CL_O200O2TNW4PYHHM4L2EZE5WGEDY	CL_O200O2TNW4PYHHM4L2EZE5WGEDYCM001	
R3TR	OTH	Others	METH	Method (ABAP Objects)	COMPONENT_NAME				ZHANA_SCI	SAP ECC 6.0	ZCL_ABAP_COMPILER	ZCL_ABAP_COMPILER=============CM007	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SCAN_FIELDS				ZHANA_SCI	SAP ECC 6.0	ZCL_DYNP_COMP_PROCS	ZCL_DYNP_COMP_PROCS===========CM006	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_METHOD_DEFINITION				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00W	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_METHOD_INFOS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00X	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_DYNPRO_DEFS				ZHANA_SCI	SAP ECC 6.0	ZCL_DYNP_COMP_PROCS	ZCL_DYNP_COMP_PROCS===========CM004	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SCAN_DYNP				ZHANA_SCI	SAP ECC 6.0	ZCL_DYNP_COMP_PROCS	ZCL_DYNP_COMP_PROCS===========CM005	
R3TR	OTH	Others	METH	Method (ABAP Objects)	ADD_METHOD				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM002	
R3TR	OTH	Others	METH	Method (ABAP Objects)	LOAD_PROGRAM_PROC_DEFS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM017	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_CLASS_STMT_KIND				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00R	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_METHOD_CLASS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00V	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_DB_TABLE				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01Z	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_DB_TABLE_FOR_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM020	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SET_ENDMETHOD_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01D	
R3TR	OTH	Others	METH	Method (ABAP Objects)	GET_FUNCTION_INFOS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM00T	
R3TR	OTH	Others	METH	Method (ABAP Objects)	SET_ENDFUNCTION_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01U	
R3TR	OTH	Others	METH	Method (ABAP Objects)	REMOVE_PARAMS				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01B	
R3TR	OTH	Others	METH	Method (ABAP Objects)	END_OF_PROC				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01V	
R3TR	OTH	Others	METH	Method (ABAP Objects)	CHECK_FOR_ENDSELECT				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01M	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IS_IN_LOOP				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM015	
R3TR	OTH	Others	METH	Method (ABAP Objects)	IS_IN_OBJLST				ZHANA_SCI	SAP ECC 6.0	ZCL_CI_TEST_ABAP_COMP_PROCS	ZCL_CI_TEST_ABAP_COMP_PROCS===CM01R	
