OBJTYPE	OBJDESC	TOTCNT	TOTDEFANA	TOTOBJDEF	OBSCNT	SYNTAXCNT	UPGRADECNT	COMPLEX1CNT	COMPLEX2CNT	COMPLEX3CNT	COMPLEX4CNT	OBSKWRDCNT	OBSFMCNT	OBSDDICCNT	SCFILENAME	REMEDIATECNT	UNICODECNT	ERRORCNT	WARNINGCNT	CCNT1	CCNT2	CCNT3	SCNT1	SCNT2	SCNT3	SCNT4	TOTPERANA	TOTOBJPER
FM	Function Module	0000000028	0000000028	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
CORE	Core Modifications	0000000132	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
DDIC	Data Dictionary	0000000119	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
ENH	Enhancements	0000000015	0000000153	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
FRM	Forms	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
PROG	Programs	0000000084	0000000083	0000000006	0000000013	0000000000	0000000000	0000000013	0000000000	0000000000	0000000000	0000000000	0000000013	0000000000		0000000000	0000000000	0000000013	0000000000								0000000000	0000000000
QUER	Queries	0000000003	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
OTH	Others	0000000378	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
BDC	BDC Objects	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000		0000000000	0000000000	0000000000	0000000000								0000000000	0000000000
